"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Netherlands","NLD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","62000","70000","78000","86000","94000","102000","110400","118700","127000","135293","140000","144500","149100","153700","156529","160000","164000","168000","172957","178000","178000","180000","183000","183186","183373","183100","182850","182600","182450","182228","182000","180000","178000","176000","172596","167000","161000","155000","149530","148500","147500","146500","145500","144500","144600","","","","","","","","","","","",
"Netherlands","NLD","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6955509255126","25.0439112931963","23.0083941851792","21.5775209219214","22.1193850535075","19.2938671307056","17.6879395456508","16.7089602821378","18.6031410534307","15.6043665981636","15.4875515258926","13.0819557933535","13.7380900468767","","",
"Netherlands","NLD","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","428.823144104803","438.291390728477","357.313525498891","337.806480648065","353.146382501402","302.13908284582","267.708606787924","238.171043898739","293.325836104049","246.811133200795","270.029673590504","231.127696456086","","","",
"Netherlands","NLD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23140","23030","22890","22680","22550","22450","22390","22270","22100","21930","21280","21140","21010","20940","20820","20730","20600","20460","20340","20200","20110","20050","20090","20160","20190","20150","20140","20120","20040","20060","19910","19860","19880","19710","19640","19810","19660","19730","19670","19560","19310","19490","19230","19494","19377","19196","19144","19293","19174","18723","18584","18417","18476","","","",
"Netherlands","NLD","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","68.542654028436","68.2168246445498","67.8021327014218","67.1800947867299","66.7950236966825","66.4988151658768","66.3210900473934","65.9656398104265","65.4620853080569","64.9585308056872","63.0331753554502","62.6184834123223","62.2334123222749","62.0260663507109","61.6706161137441","61.404028436019","61.0189573459716","60.6042654028436","60.2488151658768","59.8341232227488","59.5675355450237","59.3898104265403","59.5082938388626","59.7156398104265","59.8045023696682","59.686018957346","59.6563981042654","59.5971563981043","59.3601895734597","59.4194312796209","58.9751184834123","58.8270142180095","58.8862559241706","58.382701421801","58.175355450237","58.6789099526066","58.2345971563981","58.4419431279621","58.2642180094787","57.9383886255924","57.1978672985782","57.7310426540284","56.9609004739336","57.7428909952607","57.396327014218","56.8601895734597","56.7061611374408","57.1475118483412","56.8455380966499","55.5084494515268","55.1126927639383","54.6174377224199","54.8737748737749","","","",
"Netherlands","NLD","Arable land (hectares)","AG.LND.ARBL.HA","","992000","966000","949000","937000","928000","897000","873000","864000","845000","824000","770000","765000","761000","762000","759000","769000","775000","780000","785000","790000","788000","790000","801000","817000","826000","844000","861000","869000","876000","879000","881000","887000","887000","885000","882000","895000","901000","906000","914000","910000","905000","916000","906000","1127500","1111000","1069800","1059800","1066600","1054700","1022600","1006000","1011000","1038400","","","",
"Netherlands","NLD","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.0852327989557607","0.0818249574421281","0.0793082647903228","0.0772648411164398","0.0754794817813028","0.0720120363663192","0.0692956081586569","0.0678726580103366","0.0656158603706916","0.0631973276733888","0.0583576622890588","0.0573954055015409","0.0566248803325049","0.056256688787407","0.055537933176671","0.0558296743358538","0.0559317012583189","0.0559472661153231","0.0559185711629709","0.055831177825835","0.0553090823128293","0.0551957738202951","0.0557524951155664","0.0566408796987232","0.0569984112210412","0.057918192337533","0.0587110690549229","0.0588749638044311","0.0589942411249528","0.0587900486305397","0.058461301206559","0.0584161158406724","0.0580103762054648","0.0575316466311353","0.0570541210735024","0.0576285448154979","0.0577170072995039","0.0576805210906661","0.0578038776409542","0.0571410164306795","0.0563997163187749","0.0567220278199254","0.0558387141268619","0.069249189538809","0.0680765310111577","0.0654467998209481","0.064694156209467","0.0648562809501609","0.0638037050310011","0.061545335608653","0.0602645144926573","0.0603403338067851","0.0617932221690088","","","",
"Netherlands","NLD","Arable land (% of land area)","AG.LND.ARBL.ZS","","29.3838862559242","28.6137440758294","28.1101895734597","27.7547393364929","27.4881516587678","26.5699052132701","25.8590047393365","25.5924170616114","25.0296208530806","24.4075829383886","22.8080568720379","22.6599526066351","22.5414691943128","22.5710900473934","22.4822274881517","22.7784360189573","22.9561611374408","23.1042654028436","23.2523696682464","23.4004739336493","23.3412322274882","23.4004739336493","23.7263033175355","24.2002369668246","24.4668246445498","25","25.5035545023697","25.7405213270142","25.9478672985782","26.0367298578199","26.095971563981","26.2736966824645","26.2736966824645","26.2144549763033","26.1255924170616","26.510663507109","26.6883886255924","26.8364928909953","27.0734597156398","26.9549763033175","26.8068720379147","27.1327014218009","26.8364928909953","33.3975118483412","32.9087677725119","31.6883886255924","31.3921800947867","31.5936018957346","31.2689000889416","30.3172250222354","29.8339264531435","29.982206405694","30.8405108405108","","","",
"Netherlands","NLD","Land under cereal production (hectares)","AG.LND.CREL.HA","","521762","509284","488375","481317","484309","462031","437597","419849","406193","361706","349841","331160","292920","260522","244365","240089","235132","234679","237843","224137","213336","204629","206110","195732","183399","170284","176363","197166","202644","198596","189604","180938","183300","189100","193700","200100","202100","204926","183084","219100","229600","226310","218598","216753","216483","213220","212300","235591","220796","210419","206349","202572","203420","187410","","",
"Netherlands","NLD","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.03672985781991","1.06635071090047","1.15521327014218","1.18483412322275","1.18483412322275","1.45142180094787","1.45142180094787","1.45142180094787","1.36255924170616","1.27369668246445","1.18483412322275","1.15521327014218","1.12559241706161","1.12559241706161","1.09597156398104","1.06635071090047","1.03672985781991","1.00710900473934","1.00710900473934","0.947867298578199","0.91824644549763","0.888625592417062","0.888625592417062","0.859004739336493","0.859004739336493","0.859004739336493","0.859004739336493","0.859004739336493","0.859004739336493","0.888625592417062","0.888625592417062","1.03672985781991","1.09597156398104","1.03672985781991","1.00710900473934","1.00710900473934","1.00710900473934","1.03672985781991","1.03672985781991","1.00710900473934","0.977488151658768","0.977488151658768","0.947867298578199","0.921208530805687","0.941943127962085","0.968601895734597","1.00414691943128","1.03376777251185","1.05247554106137","1.07915801956715","1.07947805456702","1.06168446026097","1.07217107217107","","","",
